OI_CE,LTP_CE,STRIKE,LTP_PE,OI_PE
150.0,11886.4,31500.0,0.7,1066275.0
0.0,0.0,32000.0,0.75,169075.0
0.0,0.0,32500.0,0.8,60625.0
0.0,0.0,33000.0,0.8,35225.0
0.0,0.0,33500.0,1.0,6900.0
0.0,0.0,34000.0,1.05,14550.0
0.0,0.0,34500.0,1.15,9000.0
50.0,8102.15,35000.0,1.1,23050.0
0.0,0.0,35500.0,1.25,4675.0
575.0,7300.0,36000.0,1.2,26650.0
0.0,0.0,36500.0,1.25,14675.0
350.0,6210.0,37000.0,1.2,74675.0
0.0,0.0,37300.0,1.25,1500.0
0.0,0.0,37400.0,1.4,1225.0
0.0,0.0,37500.0,1.25,26350.0
0.0,0.0,37600.0,0.0,0.0
0.0,0.0,37700.0,20.0,75.0
0.0,0.0,37800.0,1.4,3500.0
0.0,0.0,37900.0,1.6,6600.0
525.0,5100.0,38000.0,1.35,301300.0
0.0,0.0,38100.0,1.65,3475.0
0.0,0.0,38200.0,1.55,4675.0
0.0,0.0,38300.0,1.75,3225.0
0.0,0.0,38400.0,1.45,3850.0
200.0,4717.0,38500.0,1.4,106025.0
0.0,0.0,38600.0,1.4,3475.0
0.0,0.0,38700.0,1.45,3200.0
0.0,0.0,38800.0,1.6,5500.0
0.0,0.0,38900.0,1.55,4675.0
1350.0,4150.0,39000.0,1.6,409675.0
0.0,0.0,39100.0,1.65,8100.0
0.0,0.0,39200.0,1.75,9150.0
0.0,0.0,39300.0,1.75,6750.0
800.0,3740.9,39400.0,1.7,6225.0
775.0,3675.85,39500.0,1.85,343700.0
0.0,0.0,39600.0,1.85,15300.0
50.0,3250.0,39700.0,1.85,9550.0
0.0,2702.05,39800.0,1.85,26175.0
25.0,3148.0,39900.0,2.0,11925.0
9700.0,3050.45,40000.0,2.05,950125.0
150.0,3064.3,40100.0,2.2,21550.0
0.0,0.0,40200.0,2.3,67900.0
0.0,0.0,40300.0,2.45,42175.0
50.0,2805.7,40400.0,2.5,16725.0
4025.0,2529.35,40500.0,2.55,876700.0
200.0,2379.05,40600.0,2.8,98700.0
225.0,2594.85,40700.0,2.8,74875.0
575.0,2543.0,40800.0,2.85,131925.0
625.0,2153.35,40900.0,3.1,93250.0
28950.0,2059.95,41000.0,3.25,1901225.0
2300.0,2050.0,41100.0,3.45,229225.0
6975.0,1850.4,41200.0,3.6,362300.0
2300.0,1765.35,41300.0,3.9,299200.0
8775.0,1865.0,41400.0,4.25,236600.0
35125.0,1584.95,41500.0,4.65,2040450.0
2975.0,1483.9,41600.0,5.05,352225.0
1400.0,1570.0,41700.0,5.5,543250.0
3525.0,1308.65,41800.0,6.2,783350.0
2525.0,1175.0,41900.0,7.25,557925.0
151100.0,1104.0,42000.0,8.9,2360975.0
6525.0,1002.25,42100.0,10.45,554125.0
13450.0,905.95,42200.0,12.8,779100.0
25350.0,805.55,42300.0,16.3,985000.0
47700.0,714.55,42400.0,21.45,1035500.0
603775.0,620.45,42500.0,28.9,2336225.0
128925.0,532.05,42600.0,38.9,1078500.0
291725.0,446.95,42700.0,53.05,1316800.0
649450.0,368.3,42800.0,73.8,1817400.0
933075.0,294.5,42900.0,100.45,1968350.0
4645325.0,229.55,43000.0,135.85,5596425.0
4166050.0,174.15,43100.0,179.95,2587850.0
6108300.0,130.1,43200.0,236.75,2120525.0
5092625.0,95.55,43300.0,301.8,1337325.0
3225250.0,69.05,43400.0,375.65,730725.0
5035625.0,49.1,43500.0,455.4,1088775.0
2231850.0,34.8,43600.0,542.05,260950.0
2222000.0,25.25,43700.0,632.4,130775.0
1905675.0,19.1,43800.0,726.1,120250.0
1485475.0,15.05,43900.0,824.85,53175.0
3819725.0,12.75,44000.0,922.65,125525.0
1100400.0,10.6,44100.0,1020.0,25100.0
1702400.0,9.25,44200.0,1130.0,14675.0
1163125.0,8.15,44300.0,1230.0,9375.0
789625.0,7.3,44400.0,1355.75,3150.0
4314475.0,6.9,44500.0,1411.25,16125.0
576100.0,6.3,44600.0,1559.8,1225.0
828975.0,5.9,44700.0,1394.5,700.0
585225.0,5.55,44800.0,1592.65,1625.0
508525.0,5.3,44900.0,1627.55,225.0
2894900.0,5.15,45000.0,1935.55,9450.0
336425.0,5.0,45100.0,1884.7,150.0
355050.0,4.8,45200.0,2099.65,150.0
255500.0,4.75,45300.0,2251.9,50.0
0.0,0.0,45400.0,0.0,0.0
2529850.0,4.5,45500.0,2131.3,625.0
0.0,0.0,45600.0,0.0,0.0
0.0,0.0,45700.0,0.0,0.0
0.0,0.0,45800.0,0.0,0.0
0.0,0.0,45900.0,0.0,0.0
3035075.0,4.15,46000.0,2648.65,475.0
0.0,0.0,46100.0,0.0,0.0
0.0,0.0,46200.0,0.0,0.0
0.0,0.0,46300.0,0.0,0.0
0.0,0.0,46400.0,0.0,0.0
890050.0,3.8,46500.0,3195.15,100.0
823225.0,3.4,47000.0,3749.8,800.0
312050.0,3.35,47500.0,0.0,0.0
871100.0,3.25,48000.0,0.0,0.0
1029525.0,3.15,48500.0,0.0,0.0
0.0,0.0,49000.0,0.0,0.0
0.0,0.0,49500.0,0.0,0.0
0.0,0.0,50000.0,0.0,0.0
0.0,0.0,50500.0,0.0,0.0
0.0,0.0,51000.0,0.0,0.0
0.0,0.0,51500.0,0.0,0.0
0.0,0.0,52000.0,0.0,0.0
0.0,0.0,52500.0,0.0,0.0
